Country,Continent,Date,Confirmed,Deaths,Recovery,dTesting,Testing
Afghanistan,Asia,1/22/20,0,0,0,0.0,0.0
Afghanistan,Asia,1/23/20,0,0,0,0.0,0.0
Afghanistan,Asia,1/24/20,0,0,0,0.0,0.0
Afghanistan,Asia,1/25/20,0,0,0,0.0,0.0
Afghanistan,Asia,1/26/20,0,0,0,0.0,0.0
Afghanistan,Asia,1/27/20,0,0,0,0.0,0.0
Afghanistan,Asia,1/28/20,0,0,0,0.0,0.0
Afghanistan,Asia,1/29/20,0,0,0,0.0,0.0
Afghanistan,Asia,1/30/20,0,0,0,0.0,0.0
Afghanistan,Asia,1/31/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/1/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/2/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/3/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/4/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/5/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/6/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/7/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/8/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/9/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/10/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/11/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/12/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/13/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/14/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/15/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/16/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/17/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/18/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/19/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/20/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/21/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/22/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/23/20,0,0,0,0.0,0.0
Afghanistan,Asia,2/24/20,1,0,0,0.0,1.0
